anio,delito,cantidad
2008,Delito 27,3567.0
2009,Delito 27,4198.0
2010,Delito 27,4446.0
2011,Delito 27,4107.0
2012,Delito 27,7706.0
2013,Delito 27,7169.0
2014,Delito 27,6820.0
2015,Delito 27,6766.0
2016,Delito 27,6972.0
2017,Delito 27,9492.0
2018,Delito 27,8901.0
2019,Delito 27,10919.0
2020,Delito 27,8975.0
2021,Delito 27,10596.0
2022,Delito 27,10995.0
2023,Delito 27,11307.0
2024,Delito 27,10533.0
2000,Delito 28,15994.0
2001,Delito 28,15364.0
2002,Delito 28,15508.0
2003,Delito 28,15378.0
2004,Delito 28,18341.0
2005,Delito 28,22378.0
2006,Delito 28,24552.0
2007,Delito 28,23638.0
2008,Delito 28,30003.0
2009,Delito 28,38996.0
2010,Delito 28,39730.0
2011,Delito 28,39176.0
2012,Delito 28,36179.0
2013,Delito 28,35557.0
2014,Delito 28,30796.0
2015,Delito 28,31447.0
2016,Delito 28,35256.0
2017,Delito 28,47358.0
2018,Delito 28,61502.0
2019,Delito 28,99777.0
2020,Delito 28,58973.0
2021,Delito 28,72043.0
2022,Delito 28,77414.0
2023,Delito 28,73798.0
2024,Delito 28,91008.0
2017,Delito 28_01,273.0
2018,Delito 28_01,222.0
2019,Delito 28_01,848.0
2020,Delito 28_01,956.0
2021,Delito 28_01,1113.0
2022,Delito 28_01,1002.0
2023,Delito 28_01,1105.0
2024,Delito 28_01,950.0
2017,Delito 28_02,4513.0
2018,Delito 28_02,5958.0
2019,Delito 28_02,6634.0
2020,Delito 28_02,5023.0
2021,Delito 28_02,5505.0
2022,Delito 28_02,6321.0
2023,Delito 28_02,6954.0
2024,Delito 28_02,8015.0
2017,Delito 28_03,263.0
2018,Delito 28_03,645.0
2019,Delito 28_03,1298.0
2020,Delito 28_03,630.0
2021,Delito 28_03,880.0
2022,Delito 28_03,1078.0
2023,Delito 28_03,845.0
2024,Delito 28_03,556.0
2017,Delito 28_04,45.0
2018,Delito 28_04,20.0
2019,Delito 28_04,1475.0
2020,Delito 28_04,72.0
2021,Delito 28_04,10.0
2022,Delito 28_04,116.0
2023,Delito 28_04,0.0
2024,Delito 28_04,1.0
2017,Delito 28_05,97.0
2018,Delito 28_05,173.0
2019,Delito 28_05,208.0
2020,Delito 28_05,167.0
2021,Delito 28_05,206.0
2022,Delito 28_05,227.0
2023,Delito 28_05,135.0
2024,Delito 28_05,126.0
2017,Delito 28_06,7965.0
2018,Delito 28_06,8110.0
2019,Delito 28_06,12257.0
2020,Delito 28_06,9239.0
2021,Delito 28_06,8393.0
2022,Delito 28_06,10528.0
2023,Delito 28_06,10205.0
2024,Delito 28_06,9793.0
2017,Delito 28_07,21530.0
2018,Delito 28_07,28688.0
2019,Delito 28_07,53624.0
2020,Delito 28_07,31939.0
2021,Delito 28_07,44588.0
2022,Delito 28_07,48942.0
2023,Delito 28_07,46452.0
2024,Delito 28_07,58232.0
2017,Delito 28_08,86.0
2018,Delito 28_08,123.0
2019,Delito 28_08,107.0
2020,Delito 28_08,68.0
2021,Delito 28_08,105.0
2022,Delito 28_08,188.0
2023,Delito 28_08,154.0
2024,Delito 28_08,134.0
2017,Delito 28_09,1315.0
2018,Delito 28_09,899.0
2019,Delito 28_09,560.0
2020,Delito 28_09,382.0
2021,Delito 28_09,623.0
2022,Delito 28_09,779.0
2023,Delito 28_09,502.0
2024,Delito 28_09,598.0
2017,Delito 28_10,11271.0
2018,Delito 28_10,16664.0
2019,Delito 28_10,22766.0
2020,Delito 28_10,10497.0
2021,Delito 28_10,10620.0
2022,Delito 28_10,8233.0
2023,Delito 28_10,7446.0
2024,Delito 28_10,12603.0
2000,Delito 29,16195.0
2001,Delito 29,17956.0
2002,Delito 29,23139.0
2003,Delito 29,22004.0
2004,Delito 29,22522.0
2005,Delito 29,25332.0
2006,Delito 29,26042.0
2007,Delito 29,23066.0
2008,Delito 29,30986.0
2009,Delito 29,29270.0
2010,Delito 29,29502.0
2011,Delito 29,33725.0
2012,Delito 29,29655.0
2013,Delito 29,34633.0
2014,Delito 29,35104.0
2015,Delito 29,35282.0
2016,Delito 29,34504.0
2017,Delito 29,38945.0
2018,Delito 29,40064.0
2019,Delito 29,72618.0
2020,Delito 29,61460.0
2021,Delito 29,70887.0
2022,Delito 29,65612.0
2023,Delito 29,63692.0
2024,Delito 29,67496.0
2016,Delito 29_1,0.0
2017,Delito 29_1,53.0
2018,Delito 29_1,51.0
2019,Delito 29_1,95.0
2020,Delito 29_1,18.0
2021,Delito 29_1,54.0
2022,Delito 29_1,326.0
2023,Delito 29_1,43.0
2024,Delito 29_1,67.0
2016,Delito 29_2,7.0
2017,Delito 29_2,756.0
2018,Delito 29_2,787.0
2019,Delito 29_2,1621.0
2020,Delito 29_2,1170.0
2021,Delito 29_2,1649.0
2022,Delito 29_2,1715.0
2023,Delito 29_2,1582.0
2024,Delito 29_2,1328.0
2016,Delito 29_3,2.0
2017,Delito 29_3,218.0
2018,Delito 29_3,604.0
2019,Delito 29_3,3739.0
2020,Delito 29_3,1899.0
2021,Delito 29_3,3970.0
2022,Delito 29_3,3388.0
2023,Delito 29_3,2838.0
2024,Delito 29_3,1903.0
2016,Delito 29_4,25.0
2017,Delito 29_4,482.0
2018,Delito 29_4,332.0
2019,Delito 29_4,368.0
2020,Delito 29_4,190.0
2021,Delito 29_4,261.0
2022,Delito 29_4,327.0
2023,Delito 29_4,98.0
2024,Delito 29_4,153.0
2016,Delito 29_5,72.0
2017,Delito 29_5,6825.0
2018,Delito 29_5,5295.0
2019,Delito 29_5,25805.0
2020,Delito 29_5,18884.0
2021,Delito 29_5,17056.0
2022,Delito 29_5,15494.0
2023,Delito 29_5,17898.0
2024,Delito 29_5,16485.0
2016,Delito 29_6,2.0
2017,Delito 29_6,300.0
2018,Delito 29_6,170.0
2019,Delito 29_6,224.0
2020,Delito 29_6,118.0
2021,Delito 29_6,183.0
2022,Delito 29_6,396.0
2023,Delito 29_6,448.0
2024,Delito 29_6,597.0
2016,Delito 29_7,0.0
2017,Delito 29_7,4.0
2018,Delito 29_7,6.0
2019,Delito 29_7,20.0
2020,Delito 29_7,6.0
2021,Delito 29_7,7.0
2022,Delito 29_7,120.0
2023,Delito 29_7,7.0
2024,Delito 29_7,16.0
2016,Delito 29_8,1256.0
2017,Delito 29_8,30307.0
2018,Delito 29_8,32819.0
2019,Delito 29_8,40746.0
2020,Delito 29_8,39175.0
2021,Delito 29_8,47707.0
2022,Delito 29_8,43846.0
2023,Delito 29_8,40778.0
2024,Delito 29_8,46947.0
2000,Delito 30,130384.0
2001,Delito 30,202813.0
2002,Delito 30,118238.0
2003,Delito 30,130115.0
2004,Delito 30,128199.0
2005,Delito 30,126279.0
2006,Delito 30,145785.0
2007,Delito 30,133316.0
2008,Delito 30,115342.0
2009,Delito 30,99126.0
2010,Delito 30,97594.0
2011,Delito 30,91448.0
2012,Delito 30,109532.0
2013,Delito 30,103947.0
2014,Delito 30,110581.0
2015,Delito 30,93633.0
2016,Delito 30,102938.0
2017,Delito 30,161897.0
2018,Delito 30,178813.0
2019,Delito 30,148812.0
2020,Delito 30,119532.0
2021,Delito 30,88850.0
2022,Delito 30,74313.0
2023,Delito 30,75953.0
